,City,Country,Date,Lat,Lng,Max Temp,Wind Speed,Humidity,Cloudiness,Timezone
276,dunedin,NZ,1572316423.0,-45.87,170.5,48.99,13.0,81.0,0.0,46800.0
277,billings,US,1572316391.0,45.79,-108.5,16.0,9.17,52.0,90.0,-21600.0
278,kununurra,AU,1572316435.0,-15.77,128.74,91.4,11.41,26.0,0.0,28800.0
279,katsuura,JP,1572316435.0,33.93,134.5,61.0,8.05,93.0,75.0,32400.0
280,lagoa,PT,1572316435.0,37.14,-8.45,66.2,2.24,93.0,75.0,0.0
281,uirauna,BR,1572316436.0,-6.52,-38.41,71.89,11.03,68.0,0.0,-10800.0
282,kungurtug,RU,1572316436.0,50.6,97.53,38.62,5.93,54.0,35.0,25200.0
283,san jeronimo,PE,1572316436.0,-13.65,-73.37,50.5,1.88,92.0,100.0,-18000.0
284,ada,US,1572316418.0,34.77,-96.68,46.99,11.41,87.0,90.0,-18000.0
285,olga,US,1572316440.0,34.11,-118.17,69.8,8.46,42.0,1.0,-25200.0
286,talpa,MX,1572316440.0,28.83,-111.63,75.99,3.0,56.0,99.0,-25200.0
287,ampanihy,MG,1572316440.0,-24.69,44.75,79.39,5.14,50.0,12.0,10800.0
288,plastun,RU,1572316441.0,44.76,136.29,47.35,3.27,95.0,100.0,36000.0
289,hobart,AU,1572316156.0,-42.88,147.33,80.01,18.34,7.0,100.0,39600.0
290,ahuimanu,US,1572316441.0,21.44,-157.84,86.0,9.17,58.0,40.0,-36000.0
292,jaisalmer,IN,1572316441.0,26.91,70.91,78.57,7.38,57.0,100.0,19800.0
293,acapulco,MX,1572316441.0,16.86,-99.88,82.4,2.24,78.0,75.0,-21600.0
294,arandis,NA,1572316442.0,-22.42,14.98,57.0,3.0,83.0,0.0,7200.0
295,linxia,CN,1572316442.0,35.6,103.21,48.2,5.1,18.0,0.0,28800.0
297,burladingen,DE,1572316442.0,48.29,9.11,46.0,3.36,81.0,75.0,3600.0
298,shaowu,CN,1572316443.0,27.34,117.49,67.96,2.44,54.0,0.0,28800.0
299,arraial do cabo,BR,1572316443.0,-22.97,-42.02,77.0,16.11,78.0,40.0,-10800.0
300,leh,IN,1572316443.0,34.16,77.58,31.24,0.81,42.0,0.0,19800.0
301,morondava,MG,1572316443.0,-20.3,44.28,76.66,3.22,79.0,28.0,10800.0
302,cap malheureux,MU,1572316444.0,-19.98,57.61,71.01,6.93,93.0,40.0,14400.0
303,cabo san lucas,MX,1572316444.0,22.89,-109.91,79.0,7.87,57.0,5.0,-25200.0
304,lewistown,US,1572316444.0,40.39,-90.15,50.0,6.93,80.0,90.0,-18000.0
305,neuquen,AR,1572316444.0,-38.95,-68.06,60.8,17.22,31.0,40.0,-10800.0
306,comodoro rivadavia,AR,1572316444.0,-45.87,-67.48,53.6,1.12,81.0,75.0,-10800.0
307,zhigansk,RU,1572316445.0,66.77,123.37,13.01,6.8,90.0,100.0,32400.0
308,monteagudo,BO,1572316445.0,-19.8,-63.96,67.62,2.17,69.0,29.0,-14400.0
309,kholtoson,RU,1572316445.0,50.3,103.31,37.0,4.61,59.0,50.0,28800.0
310,sept-iles,CA,1572316445.0,50.2,-66.38,41.0,4.7,80.0,90.0,-14400.0
311,dondo,MZ,1572316445.0,-19.62,34.74,75.2,10.29,78.0,40.0,7200.0
312,algeciras,ES,1572316445.0,36.13,-5.45,64.4,11.41,82.0,40.0,3600.0
313,kailua,US,1572316446.0,21.39,-157.74,86.0,9.17,58.0,40.0,-36000.0
314,tynda,RU,1572316446.0,55.15,124.74,27.48,1.9,67.0,37.0,32400.0
315,salina,US,1572316446.0,38.84,-97.61,32.0,12.75,80.0,90.0,-18000.0
316,saint-philippe,CA,1572316446.0,45.36,-73.48,48.99,3.36,93.0,1.0,-14400.0
317,zboriv,UA,1572316446.0,49.66,25.14,35.98,3.78,90.0,0.0,7200.0
319,sechura,PE,1572316447.0,-5.56,-80.82,61.88,10.42,88.0,9.0,-18000.0
320,torbay,CA,1572316447.0,47.66,-52.73,41.0,27.51,93.0,90.0,-9000.0
321,cumana,VE,1572316447.0,10.46,-64.17,77.99,7.0,87.0,75.0,-14400.0
322,nuuk,GL,1572316447.0,64.17,-51.74,28.4,8.05,74.0,0.0,-10800.0
325,belaya gora,RU,1572316448.0,68.54,146.19,-0.13,1.57,89.0,99.0,39600.0
326,senanga,ZM,1572316448.0,-16.1,23.3,76.32,7.38,50.0,43.0,7200.0
327,olympia,US,1572316448.0,47.05,-122.89,46.4,4.32,75.0,0.0,-25200.0
